,Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified,song_text,text_length
600,What is a day?,,Philip Rosseter,,Philip Rosseter,A Booke of Ayres,,1601,#18,Sarge Gerbode,Sarge Gerbode,,,,,What is a day?,,lute song,Gm,3.0,"7-course, bass viol, soprano",score,,,,https://lutemusic.org/composers/Rosseter/songs/18_what_is_a_day/18_what_is_a_day_S.ft3,https://lutemusic.org/composers/Rosseter/songs/18_what_is_a_day/pdf/18_what_is_a_day_S.pdf,https://lutemusic.org/composers/Rosseter/songs/18_what_is_a_day/midi/18_what_is_a_day_S.mid,1573937431,1586042078,"what is a day, what is a year of vain delight and pleasure? sweet folly yields a bitter taste which ever will appear at last; but if we still in virtue delight, our souls are in heaven placed. he that will hope for true delight with virtue must be graced. and this is all the fruit that we find which glory in worldly treasure.",327
604,Kind in unkindness,,Philip Rosseter,,Philip Rosseter,A Booke of Ayres,,1601,#19,Sarge Gerbode,Sarge Gerbode,,,,,Kind in unkindness,,lute song,Gm,3.0,"6-course, bass viol, alto",score,,,,https://lutemusic.org/composers/Rosseter/songs/19_kind_in_unkindness/19_kind_in_unkindness_S.ft3,https://lutemusic.org/composers/Rosseter/songs/19_kind_in_unkindness/pdf/19_kind_in_unkindness_S.pdf,https://lutemusic.org/composers/Rosseter/songs/19_kind_in_unkindness/midi/19_kind_in_unkindness_S.mid,1573937431,1586042078,"kind in unkindness, when will you relent and cease with f a ed still i stand, her glove still hold, but cannot touch the hand. in her fair hand my hopes and comforts rest. o might my fortunes with that hand be bless'd! no envious breaths then my deserts could shake, for they are good whom such true love doth make. o let not beauty so forget her birth, that it should fruitless home return to earth. love is the fruit of beauty; then love one not your sweet self, for such selflove is none. love one that only lives in loving you, whose wrong'd deserts would you with pity view; this strange distaste which your affections sways would relish love and you find better days. thus till my happy sight your beauty views, whose sweet remembrance still my hope renews, let these poor lines solicit love for me, and place my joys where my desires would be.",850
608,"What, then, is love but mourning?",,Philip Rosseter,,Philip Rosseter,A Booke of Ayres,,1601,#20,Sarge Gerbode,Sarge Gerbode,,,,,"What, then, is love but mourning?",,lute song,Gm,3.0,"6-course, bass viol, soprano",score,,,,https://lutemusic.org/composers/Rosseter/songs/20_what_then_is_love_but_mourning/20_what_then_is_love_but_mourning_S.ft3,https://lutemusic.org/composers/Rosseter/songs/20_what_then_is_love_but_mourning/pdf/20_what_then_is_love_but_mourning_S.pdf,https://lutemusic.org/composers/Rosseter/songs/20_what_then_is_love_but_mourning/midi/20_what_then_is_love_but_mourning_S.mid,1573937431,1586042078,"what, then, is love but mourning? what desire but a selfburning? till she that hates doth love return, thus will i mourn, thus will i sing: beauty is but a blooming, youth in his glory entombing. time hath a while which none can stay. then come away while thus i sing: come away, come away, my darling. summer in winter fadeth; gloomy night heav'nly light shadeth; like to the morn are venus' flow'rs; such are her hours. then will i sing:",439
612,Whether men do laugh or weep,,Philip Rosseter,,Philip Rosseter,A Booke of Ayres,,1601,#21,Sarge Gerbode,Sarge Gerbode,,,,,Whether men do laugh or weep,,lute song,GM,3.0,"6-course, bass viol, soprano",score,,,,https://lutemusic.org/composers/Rosseter/songs/21_whether_men_do_laugh_or_weep/21_whether_men_do_laugh_or_weep_S.ft3,https://lutemusic.org/composers/Rosseter/songs/21_whether_men_do_laugh_or_weep/pdf/21_whether_men_do_laugh_or_weep_S.pdf,https://lutemusic.org/composers/Rosseter/songs/21_whether_men_do_laugh_or_weep/midi/21_whether_men_do_laugh_or_weep_S.mid,1573937431,1586042078,"whether men do laugh or weep, whether they do wake or sleep, whether they die young or old, whether they feel heat or cold, there is underneath the sun nothing in true earnest done. all our pride is but a jest; none are worst and none are best. grief and joy and hope and fear play their pageants ev'rywhere; vain opinion all doth sway, and the world is but a play. pow'rs above in clouds do sit mocking our poor apish wit, that so lamely with such state their high glory imitate. no ill can be felt but pain, and that happy men disdain.",537
618,Douce memoire,[1st verse attr. to Fran?ois I; 2nd verse by Hugues Salel],Pierre Sandrin,,Tylman Susato,Second livre de chansons ? quatre parties,,1544,f.4,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,62a. Fortune my foe,,lute song,Dm,3.0,"8-course, alto",score,,,,https://lutemusic.org/composers/Sandrin/douce_memoire_song_sandrin.ft3,https://lutemusic.org/composers/Sandrin/pdf/douce_memoire_song_sandrin.pdf,https://lutemusic.org/composers/Sandrin/midi/douce_memoire_song_sandrin.mid,1573937431,1586042078,"f a weet memory of consummated pleasure he steadfastness of the two of us, so in love, hat was so strong in overcoming all our ills, ow has lost its power, reaking the end of my only hope. he good is finished; suddenly the bad begins. he good in finished; suddenly the bad begins. he cruelty, malice, and inconstancy hat one often sees in the feminine will. e who scorns it has no regrets, or virtue will cause his reputation to grow, eaving her being such a loyal duty. weet memory of consummated pleasure.",507
672,"2. Begl'occhi, bel seno",,Barbara Strozzi,,Barbara Strozzi,"Cantate, ariette, e duetti",,1651,#2,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,"2. Begl'occhi, bel seno",,lute song,CM,4.0,"archlute, bass viol, tenor",score,,,,https://lutemusic.org/composers/Strozzi/1651/02_begl_occhi_bel_seno/CM/02_begl_occhi_bel_seno_C_S.ft3,https://lutemusic.org/composers/Strozzi/1651/02_begl_occhi_bel_seno/CM/pdf/02_begl_occhi_bel_seno_C_S.pdf,https://lutemusic.org/composers/Strozzi/1651/02_begl_occhi_bel_seno/CM/midi/02_begl_occhi_bel_seno_C_S.mid,1573937433,1586042080,"rit. last time only etween a tease and a laugh voi tra lo scherzo e'l riso et my heart arouses me so much m tanto il cor m'ardete hrough the doors of heaven i run to hell. per le porte del ciel corro all'inferno. es, how your gentle throat s, che tua giogia grata y fire is spent among the snowflakes. fra le falde di giel provo il mio foco. mid mines of gold i'm poor. fra le miniere d'or povero io sono. f those beloved lips. i coralli divini. ver pick enough kisses to satisfy my yearning. coglier quanti vorrei bacci mi tocca. eglocchi, bel seno beautiful eyes, beautiful breast ou bring me to heaven. in ciel m'introducete. hat because of my eternal flame, che dal mio foco eterno es, beautiful breast, you are living snow. s, bel seno, che tu sei una neve animata. et in the end so sublime is my delight ma tanto alfin godei ear sweet locks: you, my precious threads. cari dolci legami, voi, preziosi stami. o, you don't compare with che voi non pareggiate et never, in the gardens ma non mai ne' giardini",1011
708,10. L'amante bugiardo,,Barbara Strozzi,,Barbara Strozzi,"Cantate, ariette, e duetti",,1651,#10,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,10. L'amante bugiardo,,lute song,Am,3.0,"archlute, bass viol, soprano","bass viol, soprano",,,,https://lutemusic.org/composers/Strozzi/1651/10_l_amante_bugiardo/Am/10_l_amante_bugiardo_VB.ft3,https://lutemusic.org/composers/Strozzi/1651/10_l_amante_bugiardo/Am/pdf/10_l_amante_bugiardo_VB.pdf,https://lutemusic.org/composers/Strozzi/1651/10_l_amante_bugiardo/Am/midi/10_l_amante_bugiardo_VB.mid,1573937433,1586042080,"ranslation my best guess: ut if you speak lies and falsehoods, h be silent and don't betray me. the lying lover ease your simpering ut if you speak lies and falsehoods, y peaceful days are tainted by your glance, nd false and traitorous kisses. ease your simpering nd by your lying sigh, you have poisoned my air. nd from my own furious rages. nd false and traitorous kisses. h play and don't scorn, h, swear to me and don't lie,",429
734,15. Tr? le speranze e'l timore,,Barbara Strozzi,,Barbara Strozzi,"Cantate, ariette, e duetti",,1651,#15,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,15. Tr? le speranze e'l timore,,lute song,Am,3.0,"archlute, bass viol, bass",score,,,,https://lutemusic.org/composers/Strozzi/1651/15_tra_le_speranze_e_l_timore/Am/15_tra_le_speranze_e_l_timore_Am_S.ft3,https://lutemusic.org/composers/Strozzi/1651/15_tra_le_speranze_e_l_timore/Am/pdf/15_tra_le_speranze_e_l_timore_Am_S.pdf,https://lutemusic.org/composers/Strozzi/1651/15_tra_le_speranze_e_l_timore/Am/midi/15_tra_le_speranze_e_l_timore_Am_S.mid,1573937433,1586042080,"ear, what does the future hold? ear: ive me leave, hope, and i will tell you. ope and fear will never agree, ecause the one is careful nd the other is blinded by love. ear: ope, i will tell you,",194
750,A donna bella e crudele,,Barbara Strozzi,,Barbara Strozzi,"Cantate, ariete a una, due, e tre voci",,1654,,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,A donna bella e crudele,,lute song,Dm,3.0,"10-course, bass viol, soprano",score,,,,https://lutemusic.org/composers/Strozzi/1654/04_a_donna_bella_e_crudele/04_a_donna_bella_e_crudele_S.ft3,https://lutemusic.org/composers/Strozzi/1654/04_a_donna_bella_e_crudele/pdf/04_a_donna_bella_e_crudele_S.pdf,https://lutemusic.org/composers/Strozzi/1654/04_a_donna_bella_e_crudele/midi/04_a_donna_bella_e_crudele_S.mid,1573937433,1586042080,"an venute, perch state, perch state che son mate, che son mute? nate, o tornate, o tornate, o tornate in grembo all'onda, ear, precious pearls that come from the ocean, hy do you stand between two lips that are mute? o to a mouth that answers: nows, you who fall upon an alpine cliff, hy do you remain on that bosom full of pride? eturn to the rough alps. old, that is the pride of the indian region, hy do you so adorn the locks of a faithless face? o to a less severe face: lood, that ciprigna venus has poured on roses, ho places you, beautiful ?ostro?, on an ungrateful face? low to cheeks that are more serene: tars, those that shine in her eyes, hat moved you to add lustre to such wicked eyes? o to eyes that are less haughty:",733
754,5. Con male nuove,,Barbara Strozzi,,Barbara Strozzi,"Cantate, ariete a una, due, e tre voci",,1654,#5,Susan Mardinly and Sarge Gerbode,Sarge Gerbo,Susan Mardinly and Sarge Gerbode,Sarge Gerbode,,Susan Mardinly,5. Con male nuove,,lute song,Dm,4.0,"archlute, bass viol, soprano",archlute,,,,https://lutemusic.org/composers/Strozzi/1654/05_con_male_nuove/Dm/con_male_nuove_Dm_T.ft3,https://lutemusic.org/composers/Strozzi/1654/05_con_male_nuove/Dm/pdf/con_male_nuove_Dm_T.pdf,https://lutemusic.org/composers/Strozzi/1654/05_con_male_nuove/Dm/midi/con_male_nuove_Dm_T.mid,1573937434,1586042080,"hat in loving, one finds only pain and weeping. chamando non si trova altro che pena e pianti. ne cannot love no without pains and torment. non sama, no, senza pene e martire. y heart proves it all too well, ben il mio cor il prova o others who call or ask for me, a chi minvita e chiama altro nd still you want me to sing. e volete chio canti. ear me, you who are eager to hear the song. senta chi brama la canzonetta udire.",425
757,In a grove most rich of shade,Poem by Sir Phillip Sidney.,Guillaume Tessier,,Robert Dowland,A Musicall Banquet,,1610,f.e1v,Sarge Gerbode,Sarge Gerbode,,,,,In a grove most rich of shade,,lute song,Gm,3.0,"6-course, bass viol, soprano",score,,,https://lutemusic.org/facsimiles/DowlandR/A_Musicall_Banquet_1610/e1v.png,https://lutemusic.org/composers/Tessier/songs/in_a_grove_most_rich/in_a_grove_most_rich_S.ft3,https://lutemusic.org/composers/Tessier/songs/in_a_grove_most_rich/pdf/in_a_grove_most_rich_S.pdf,https://lutemusic.org/composers/Tessier/songs/in_a_grove_most_rich/midi/in_a_grove_most_rich_S.mid,1573937435,1588451625,"in a grove most rich of shade, where birds wanastrophel with stella sweet did for muhim great harms had taught much care; her fair neck wept they had, alas, the while, but now tears sigh'd they had, but now betwixt sighs of woe their ears hungry of each word which the dear but when their tongues could not speak, love itself stella, sov'reign of my joy, faire triumstella, in whose shining eyes are the lights stella, whose voice, when it speaks, senses all stella, in whose body is, writ the cargrant, o grant, but speech alas failes me, feargrant, o dear, on knees i pray, knees on ground never season was more fit, never room this small wind which so sweet is, see how it love makes earth the water drink, love to earth there his hands in their speech fain would have made therewithall, away she went, leaving him ton music made, may then young his pied weeds tual comfort meet, both within themselves opa foul yoke bare, but her sight his care did themselves did smile, while their eyes by love dirwere glad sighs mixt, with arms cross'd, yet testitongue would afford: but their tongues restrain'd from did silence breake: love did set his lips aphress in annoy: stella, star of heav'nly of cupid's skyes, whose beams when they are once asunder breake: stella, whose voice when it acter of blisse: whose sweet face all beauty ing on to passe: grant to me-what am i he then did stay that not i but, since i more apt for it: smiling air allows my the leaves doth kisse, each tree in his best atmakes water sincke, and if dumb things be so tongue's language plaine but her hands his hands comwith passion rent with what she had done and showing, new perfum'd with pressed, but each in the banish, in his sight her ected, interchangeafying restless rest and walking till their hearts had sunder, thus to speak in darted, love therewith is singeth, angels to acpasseth, save thy mind, which saying? but no fault there love you, time and place from reason; these birds sing, now tiring, sense of love to witty, shall a heav'nly spoken, that therewith my flow'rs fresh growing. may, then young, ing. other blessed. both within sed. yoke did vanish. but her sight ish. bly, reflected. while their eyes ed. living dying. with arms cross'd, ing. ended talking. but their tongues ing. straight imparted. whose beams when ed. quaintance bringeth. stella, whose eth. it surpasseth. whose sweet face eth. is in praying. grant to me, ing. me may move you. that not i you. use the season. smiling air son. love inspiring. each tree in ing. grace want pity? and if dumb ty? grace expelling. but her hands ling. song is broken. with what she ken.",2633
761,23. Though some saith,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.71v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,3.0,6-course,,,,,https://lutemusic.org/composers/TudorH/23_though_some_saith_tudorH.ft3,https://lutemusic.org/composers/TudorH/pdf/23_though_some_saith_tudorH.pdf,https://lutemusic.org/composers/TudorH/midi/23_though_some_saith_tudorH.mid,1671651266,1671649075,"though some saith that youth ruleth me, i trust in age for to tarry; god and my right and my duty. from ry? i think some was of each degree; therethem shall i never vary: though some saith that in a wager lay dare i though some saith that youth ruleth me. youth ruleth me. pastimes of then soon disyouth sometime among, none can say cuss that hence we must, pray we to but necessary, i hurt no man. i do no wrong; god and saint mary that all amend; and here an end. i love true where i did marry: thus saith the king, the eighth henry:",535
762,1. Pastime with good company,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.14v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,2.0,"6-course, alto",,,,,https://lutemusic.org/composers/TudorH/01_pastime_with_good_company/pastime_with_good_company_song.ft3,https://lutemusic.org/composers/TudorH/01_pastime_with_good_company/pdf/pastime_with_good_company_song.pdf,https://lutemusic.org/composers/TudorH/01_pastime_with_good_company/midi/pastime_with_good_company_song.mid,1671651266,1671640326,"pastime with good company, i love and shall until i die; gruch who lust, but none deny so god be pleased, thus live will i; for my pastance, hunt chief mistress of vices all: then who can say but mirth and play is best of all? youth must have some dalliance, of good or ill some pastance; company methinks then best all thoughts and fancies his free will. the best ensue, the worst eschew, my mind shall be; virtue to use, vice to refuse, thus shall i use me. company with ho. nesty is virtue, vices to flee; company is good and ill, but eve-ry man hath sing and dance; my heart is set all goodly sport for my comfort: who shall me let?",636
765,"4. Alas, what shall I do?",,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.20v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Dm,3.0,"6-course, alto",,,,,https://lutemusic.org/composers/TudorH/04_alas_what_shall_i_do/04_alas_what_shall_i_do_tudorH.ft3,https://lutemusic.org/composers/TudorH/04_alas_what_shall_i_do/pdf/04_alas_what_shall_i_do_tudorH.pdf,https://lutemusic.org/composers/TudorH/04_alas_what_shall_i_do/midi/04_alas_what_shall_i_do_tudorH.mid,1671651266,1671641852,"alas, what shall i do for love? for love, alas, what shall i do? sith now so kind i do you find, to keep you me unto; alas.",123
766,5. O my heart,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.22v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,3.0,"6-course, alto",,,,,https://lutemusic.org/composers/TudorH/05_oh_my_heart/05_o_my_heart_song.ft3,https://lutemusic.org/composers/TudorH/05_oh_my_heart/pdf/05_o_my_heart_song.pdf,https://lutemusic.org/composers/TudorH/05_oh_my_heart/midi/05_o_my_heart_song.mid,1671651267,1671642095,"o my heart and o my heart; my heart it is so sore, since i must needs from my love depart and know no cause wherefore, since fore.",130
767,6. The time of youth,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.28v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Am,3.0,"6-course, soprano",,,,,https://lutemusic.org/composers/TudorH/06_the_time_of_youth/06_the_time_of_youth_tudorH.ft3,https://lutemusic.org/composers/TudorH/06_the_time_of_youth/pdf/06_the_time_of_youth_tudorH.pdf,https://lutemusic.org/composers/TudorH/06_the_time_of_youth/midi/06_the_time_of_youth_tudorH.mid,1671651267,1671642675,"the time of youth is to be spent pastimes there be, i know't truly and they be pleasant to god and man, as feats of arms, and such other comparisons in them may lawfully be set, virtue it is then youth for to spend but vice in it should be forfent. but which one may use, and vice deny; which those should we covet win who can, those whereby activeness one may utter, wherefor thereby courage is surely out fel; for in good disports which it doth fend, in vice in it should be forfent. one may use, and vice deny; should we covet win who can; by activeness one may utter. thereby courage is surely out fel; good disports which it doth fend.",640
768,"7. Alack, alack",,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.35v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,3.0,"6-course, alto",,,,,https://lutemusic.org/composers/TudorH/07_alack_alack_tudorH/07_alack_alack_tudorH.ft3,https://lutemusic.org/composers/TudorH/07_alack_alack_tudorH/pdf/07_alack_alack_tudorH.pdf,https://lutemusic.org/composers/TudorH/07_alack_alack_tudorH/midi/07_alack_alack_tudorH.mid,1671651267,1671642787,"alack, alack what shall i do, for care is cast into my heart, and true love locked thereto, and thereto.",104
769,8. Green groweth the holly,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.37v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Am,3.0,"5-course, alto",,,,,https://lutemusic.org/composers/TudorH/08_green_groweth_the_holly/08_green_groweth_the_holly_tudorH.ft3,https://lutemusic.org/composers/TudorH/08_green_groweth_the_holly/pdf/08_green_groweth_the_holly_tudorH.pdf,https://lutemusic.org/composers/TudorH/08_green_groweth_the_holly/midi/08_green_groweth_the_holly_tudorH.mid,1671651267,1671642883,"green grow'th the holly, so doth the ivy, though winter blasts blow never so special, who hath my heart truas the holly grow'th green and never changeth hue, so i am, ever hath high; green grow'th the holly. as the holly grow'th green with ivy all alone, when flowers cannot be been unto my lady true. now unto my lady promise to her i make, from all other only, be sure. and ever shall.",387
770,9. Whoso that will all feats,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.38v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,4.0,"6-course, alto",,,,,https://lutemusic.org/composers/TudorH/09_whoso_that_will_all_feats/09_whoso_that_will_all_feats_tudorH.ft3,https://lutemusic.org/composers/TudorH/09_whoso_that_will_all_feats/pdf/09_whoso_that_will_all_feats_tudorH.pdf,https://lutemusic.org/composers/TudorH/09_whoso_that_will_all_feats/midi/09_whoso_that_will_all_feats_tudorH.mid,1671651267,1671643068,"whoso that will all feats obtain, in love he must be with out disdain for love enforceth all noble kind great pity it were,love for to compel with disdain both false and subtel. wherefore to love and be not lov'd is worse than death. let it be prov'd.love encourageth and maketh one bold disdain abateth and maketh him cold. love is given to god and man; to woman also, i think the same. but disdain is vice and should be refus'd; yet nevertheless it is too much used.",468
771,10. If love now reigned - 1,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.48v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,4.0,"8-course, alto",,,,,https://lutemusic.org/composers/TudorH/10_if_love_now_reigned_1/10_if_love_now_reigned_1_tudorH.ft3,https://lutemusic.org/composers/TudorH/10_if_love_now_reigned_1/pdf/10_if_love_now_reigned_1_tudorH.pdf,https://lutemusic.org/composers/TudorH/10_if_love_now_reigned_1/midi/10_if_love_now_reigned_1_tudorH.mid,1671651267,1671643397,"if love now reigned as it hath been and were rewarded as it hath sin', noble men would sure unto them which doth sure this case: which of their loves doth get them grace? but envy reign'th with such disdain and causeth lovers outwardly to refrain, which puts them to more ensearch all ways whereby it know better than do the fault in whom i cannot set; but let them tell which love and lovers i put now and more inwardly most they might it reach;",446
774,12. Whereto should I express,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.51v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,2.0,"6-course, alto",,,,,https://lutemusic.org/composers/TudorH/12_whereto_should_i_express/12_whereto_should_i_express_tudorH.ft3,https://lutemusic.org/composers/TudorH/12_whereto_should_i_express/pdf/12_whereto_should_i_express_tudorH.pdf,https://lutemusic.org/composers/TudorH/12_whereto_should_i_express/midi/12_whereto_should_i_express_tudorH.mid,1671651267,1671643856,"whereto should i express my inward heaviness? no mirth can make me fain till that we meet again. do way, dear heart, not so. let no thought you dismay, though ye now part me fro', we shall meet when we may. when i remember me of your most gentle mind, it may in no wise agree that i should be unkind. the daisy delectable, the violet wan and pain thus long to endure, till that we meet again. i make you fast and sure; it is to me great",436
775,14. Though that men do call,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.55v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Gm,2.0,"6-course, soprano",,,,,https://lutemusic.org/composers/TudorH/14_though_that_men_do_call/14_though_that_men_do_call_tudorH.ft3,https://lutemusic.org/composers/TudorH/14_though_that_men_do_call/pdf/14_though_that_men_do_call_tudorH.pdf,https://lutemusic.org/composers/TudorH/14_though_that_men_do_call/midi/14_though_that_men_do_call_tudorH.mid,1671651267,1671644105,"though that men do call it dotage, and whosoever may love get or else from her which is her heir, with eye and mind doth both agree, the eye doth look and represent; thus am i fixed without grudge, such lovers, though they take pain, for often times where they do but sue for whoso loveth should love but one; who loveth not wanteth courage, rage. and she to him must seem most fair, fair. there is no boot; there must it be, be. but mind affirm'th with full consent, sent. mine eye with heart doth me so judge, judge. who love disdaineth is all of the village, lage. it were pity they should obtain, tain; they hinder lovers that would be true, true. change whoso will, i will be none, none.",692
776,22. Without discord,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.68v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Dm,3.0,"6-course, tenor",,,,,https://lutemusic.org/composers/TudorH/22_without_discord/22_without_discord_tudorH.ft3,https://lutemusic.org/composers/TudorH/22_without_discord/pdf/22_without_discord_tudorH.pdf,https://lutemusic.org/composers/TudorH/22_without_discord/midi/22_without_discord_tudorH.mid,1671651267,1671644259,"without discord and both accord now let us be; both hearts alone to set in one best seemeth me. for when one soul is in the dole of love's pain, then help must have himself to save and love to obtain. wherefore now we that lovers be let us now pray once love sure for to procure without delay. where love so su'th there no heart ru'th but condescend; if contrary what remedy? god it amend.",389
777,29. Whoso that will for grace sue,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.84v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,CM,3.0,"6-course, tenor",,,,,https://lutemusic.org/composers/TudorH/29_whoso_that_will_for_grace_sue/29_whoso_that_will_for_grace_sue_tudorH.ft3,https://lutemusic.org/composers/TudorH/29_whoso_that_will_for_grace_sue/pdf/29_whoso_that_will_for_grace_sue_tudorH.pdf,https://lutemusic.org/composers/TudorH/29_whoso_that_will_for_grace_sue/midi/29_whoso_that_will_for_grace_sue_tudorH.mid,1671651267,1671648248,"whoso that will for grace sue, his intent must needs be true and love her in heart and deed, else it were pity that he should speed; many one saith that love is ill, but those be they which can no skill, but skill. or else because they may not obtain they would that other should it disdain. but love is a thing giv'n by god; in that therefore can be none odd, but perfect in deed and between two, wherefore, then, should we it eschew, wherechew?",446
778,32. Lusty youth should us ensue,,Henry Tudor,,GB-Lbl:British Library,Add. MS 31922,,1515,f.94v,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,,,lute song,Dm,3.0,"6-course,alto",,,,,https://lutemusic.org/composers/TudorH/32_lusty_youth_should_us_ensue/32_lusty_youth_should_us_ensue_tudorH.ft3,https://lutemusic.org/composers/TudorH/32_lusty_youth_should_us_ensue/pdf/32_lusty_youth_should_us_ensue_tudorH.pdf,https://lutemusic.org/composers/TudorH/32_lusty_youth_should_us_ensue/midi/32_lusty_youth_should_us_ensue_tudorH.mid,1671651267,1671648394,"lusty youth should us ensue, his merry heart shall sure all rue, for whatsoever they do him tell, it is not for him, we know it well. how should youth himself best use, how should youth himself best use, but all disdainers for to refuse? youth has as chief assurance honest mirth with es to purchase. now unto god this prayer we make, that this rude play as virtues to ensue. wherefore by these he must be dance, youth should fall in great misamend, and bliss obtain at our last used, virtue's pastance must be therein used. for they would have him his liberty refrain and all merry company for to disdain; but i will not do what soever they say, but follow his mind is all that we may. for in them consisteth great honour, for in them consisteth great honour, though that disdainers would therein put error, for they do sue to get them grace all only richwith good order, counsel and equity, good lord grant us our mansion to be; for without their good guimay well be take, and that we may our faults guided and virtue's pastance must be therein chance, youth should fall in great mischance. end, and bliss obtain at our last end.",1131
781,Tan ta ra ran tan tant,,Thomas Weelkes,,Thomas Weelkes,Ayeres or Phantasticke Spirites for Three Voices,,1608,#7,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,Tan ta ra ran tan tant,,lute song,FM,3.0,"7-course, soprano",score,,,,https://lutemusic.org/composers/Weelkes/songs/tan_ta_ra_ra_tan_tant/tan_ta_ra_ra_tan_tant.ft3,https://lutemusic.org/composers/Weelkes/songs/tan_ta_ra_ra_tan_tant/pdf/tan_ta_ra_ra_tan_tant.pdf,https://lutemusic.org/composers/Weelkes/songs/tan_ta_ra_ra_tan_tant/midi/tan_ta_ra_ra_tan_tant.mid,1573937435,1586042081,"in a chamber, toodle loodle, toodle loo dle loo, cries pan, that cuckoo with bells at his a f e f a a f shoe and a fiddle too, and a fiddle too. aye me, but i alas lie weeping, for death hath slain my sweeting, which hath my heart in keeping, which hath my heart in keeping.",274
783,"Adieu, Sweet Amaryllis",,John Wilbye,,John Wilbye,The First Set of English Madrigals,,1598,,Sarge Gerbode,Sarge Gerbode,,,,,"Adieu, Sweet Amaryllis",,lute song,Gm,3.0,"8-course, soprano",score,,,,https://lutemusic.org/composers/Wilbye/songs/adieu_sweet_amaryllis/adieu_sweet_amaryllis.ft3,https://lutemusic.org/composers/Wilbye/songs/adieu_sweet_amaryllis/pdf/adieu_sweet_amaryllis.pdf,https://lutemusic.org/composers/Wilbye/songs/adieu_sweet_amaryllis/midi/adieu_sweet_amaryllis.mid,1573937436,1586042081,"amarillis: for since to part, to part your will is, o heavy tiding, here is for me no biding: yet once again, yet once again, again, ere that i part with you, yet once again, yet once again, again, ere that i part with you, amarillis,",234
785,"Madonna, qual certezza",,Adrian Willaert,,Adrian Willaert,Intavolatura de li madrigali di Verdeletto,,1536,,Sarge Gerbode,Sarge Gerbode,,,,,"Madonna, qual certezza",,lute song,Gm,2.0,"6-course, soprano",score,,,,https://lutemusic.org/composers/Willaert/madonna_qual_certeca/madonna_qual_certeca.ft3,https://lutemusic.org/composers/Willaert/madonna_qual_certeca/pdf/madonna_qual_certeca.pdf,https://lutemusic.org/composers/Willaert/madonna_qual_certeca/midi/madonna_qual_certeca.mid,1573937436,1586042081,"y lady, what greater proof s there of the great fire within me han to see me consumed, little by little? las! don't you know hat when i gaze intently at you hat i feel myself transformed into the one for whom i yearn? hat i am then caught in your noose: nd so if you see that, y lady, what greater proof s there of the great fire within me han to see me consumed, little by little?",381
